Symbol,Name,Industry,Sector,Exchange,Cap mln,Last,Change,Change %,Volume
GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd,Agricultural Inputs,Basic Materials,NSE,94854,242.77,4.73,1.99,4909552
MADRASFERT.NS,Madras Fertilizers Ltd,Agricultural Inputs,Basic Materials,NSE,17539,108.30,1.9,1.79,2172633
MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Ltd,Agricultural Inputs,Basic Materials,NSE,15247,128.51,2.39,1.9,461103
RALLIS.NS,Rallis India Ltd,Agricultural Inputs,Basic Materials,NSE,61209,317.30,2.55,0.81,419535
ACC.NS,ACC Ltd,Building Materials,Basic Materials,NSE,481495,2606.00,36.3,1.41,841353
AMBUJACEM.NS,Ambuja Cements Ltd,Building Materials,Basic Materials,NSE,1598072,655.35,6.55,1.01,3155349
BIRLACORPN.NS,Birla Corp Ltd,Building Materials,Basic Materials,NSE,118619,1600.95,69.6,4.55,287913
NCLIND.NS,NCL Industries Ltd,Building Materials,Basic Materials,NSE,10708,241.90,6.05,2.57,759665
NUVOCO.NS,Nuvoco Vistas Corp Ltd,Building Materials,Basic Materials,NSE,125040,359.45,9.4,2.69,835640
PRSMJOHNSN.NS,Prism Johnson Ltd,Building Materials,Basic Materials,NSE,82873,170.67,5.92,3.59,2008535
RAMCOCEM.NS,The Ramco Cements Ltd,Building Materials,Basic Materials,NSE,201144,881.00,29.75,3.49,3461226
SHREDIGCEM.NS,Shree Digvijay Cement Company Ltd,Building Materials,Basic Materials,NSE,16235,111.89,1.77,1.61,2589776
SHREECEM.NS,Shree Cement Ltd,Building Materials,Basic Materials,NSE,982028,27567,349.5,1.28,43749
ULTRACEMCO.NS,UltraTech Cement Ltd,Building Materials,Basic Materials,NSE,3129762,11180,334.3,3.08,586331
EPIGRAL.NS,Epigral Ltd,Chemicals,Basic Materials,NSE,57574,1363.00,8.85,0.65,39735
INDIAGLYCO.NS,India Glycols Ltd,Chemicals,Basic Materials,NSE,27618,896.75,9.35,1.05,44605
NAVINFLUOR.NS,Navin Fluorine International Ltd,Chemicals,Basic Materials,NSE,175338,3624.60,87.75,2.48,186757
CENTURYPLY.NS,Century Plyboards (India) Ltd,Lumber & Wood Production,Basic Materials,NSE,156032,716.05,13.8,1.97,95927
VEDL.NS,Vedanta Ltd,Other Industrial Metals & Mining,Basic Materials,NSE,1696281,444.00,-10.05,-2.21,145776416
AMIORG.NS,Ami Organics Ltd,Specialty Chemicals,Basic Materials,NSE,53643,1337.00,25.75,1.96,248273
PRAKASH.NS,Prakash Industries Ltd,Steel,Basic Materials,NSE,32761,185.71,3.25,1.78,645340
SURYAROSNI.NS,Surya Roshni Ltd,Steel,Basic Materials,NSE,66581,616.45,2.95,0.48,150882
SUNTV.NS,Sun TV Network Ltd,Broadcasting,Communication Services,NSE,295761,772.00,21.5,2.86,612195
ZEEL.NS,Zee Entertainment Enterprises Ltd,Broadcasting,Communication Services,NSE,143905,156.10,7.37,4.96,23944356
BHARTIARTL.NS,Bharti Airtel Ltd,Telecom Services,Communication Services,NSE,8452020,1444.00,29.05,2.05,3052169
CEATLTD.NS,CEAT Ltd,Auto Parts,Consumer Cyclical,NSE,100173,2482.30,5.85,0.24,72977
FIEMIND.NS,Fiem Industries Ltd,Auto Parts,Consumer Cyclical,NSE,33697,1330.00,49.7,3.88,118528
SONACOMS.NS,Sona BLW Precision Forgings Ltd,Auto Parts,Consumer Cyclical,NSE,372107,642.25,8.35,1.32,500972
SAFARI.NS,Safari Industries (India) Ltd,Footwear & Accessories,Consumer Cyclical,NSE,100078,2078.90,26.75,1.3,88811
ARROWGREEN.NS,Arrow Greentech Ltd,Packaging & Containers,Consumer Cyclical,NSE,8206.84,559.00,22.1,4.12,70902
ICIL.NS,Indo Count Industries Ltd,Textile Manufacturing,Consumer Cyclical,NSE,72517,383.70,17.7,4.84,731845
